"","CT_ID_10","year","parcelpct","privateconflict","socdis","udensity","violence","ISD_nbhd","rperunit","udensity_lag1","udensity_lag2","parcelpct_lag1","parcelpct_lag2","rperunit_lag1","rperunit_lag2","medincome","udensity_lead1","udensity_lead2","parcelpct_lead1","parcelpct_lead2","rperunit_lead1","rperunit_lead2"
"25025000503-2012","25025000503","2012",0,7.88229111928534,0,0,8.93326326852339,1,0,0,NA,0,NA,0,NA,56349,0.00388500388500389,0.00554675118858954,0.0555555555555556,0.0833333333333333,0,0.0316957210776545
"25025000503-2013","25025000503","2013",0.0555555555555556,7.15648854961832,5.72519083969466,0.00388500388500389,8.11068702290076,1,0,0,0,0,0,0,0,55962,0.00554675118858954,0.00700389105058366,0.0833333333333333,0.0972222222222222,0.0316957210776545,0.0575875486381323
"25025000503-2014","25025000503","2014",0.0833333333333333,5.29865125240848,1.92678227360308,0.00554675118858954,12.52408477842,1,0.0316957210776545,0.00388500388500389,0,0.0555555555555556,0,0,0,44167,0.00700389105058366,0.00602863602110023,0.0972222222222222,0.0972222222222222,0.0575875486381323,0.0859080633006782
"25025000503-2015","25025000503","2015",0.0972222222222222,8.00753650494583,1.41309467734338,0.00700389105058366,4.71031559114461,1,0.0575875486381323,0.00554675118858954,0.00388500388500389,0.0833333333333333,0.0555555555555556,0.0316957210776545,0,56037,0.00602863602110023,0.0082089552238806,0.0972222222222222,0.125,0.0859080633006782,0.155970149253731
"25025000503-2016","25025000503","2016",0.0972222222222222,6.59444182760245,0.942063118228921,0.00602863602110023,9.42063118228921,1,0.0859080633006782,0.00700389105058366,0.00554675118858954,0.0972222222222222,0.0833333333333333,0.0575875486381323,0.0316957210776545,56522,0.0082089552238806,NA,0.125,NA,0.155970149253731,NA
"25025000503-2017","25025000503","2017",0.125,5.18134715025907,1.88412623645784,0.0082089552238806,5.18134715025907,1,0.155970149253731,0.00602863602110023,0.00700389105058366,0.0972222222222222,0.0972222222222222,0.0859080633006782,0.0575875486381323,62389,NA,NA,NA,NA,NA,NA
"25025000504-2011","25025000504","2011",0.0037593984962406,6.53742110009017,2.02885482416592,0.000317460317460317,11.7222723174031,1,0,NA,NA,NA,NA,NA,NA,33444,0.002,0.00285612281328097,0.0225563909774436,0.0300751879699248,0.00533333333333333,0.0160656908247055
"25025000504-2012","25025000504","2012",0.0225563909774436,8.76154392611887,2.60478332938669,0.002,12.0767227089747,1,0.00533333333333333,0.000317460317460317,NA,0.0037593984962406,NA,0,NA,36339,0.00285612281328097,0.00187476565429321,0.0300751879699248,0.0150375939849624,0.0160656908247055,0.0277465316835396
"25025000504-2013","25025000504","2013",0.0300751879699248,11.3280308508074,9.6408773198361,0.00285612281328097,16.6305133767173,1,0.0160656908247055,0.002,0.000317460317460317,0.0225563909774436,0.0037593984962406,0.00533333333333333,0,41630,0.00187476565429321,0.00925212027756361,0.0150375939849624,0.0827067669172932,0.0277465316835396,0.107170393215112
"25025000504-2014","25025000504","2014",0.0150375939849624,6.86448184233835,2.87865367581931,0.00187476565429321,12.1789193976971,1,0.0277465316835396,0.00285612281328097,0.002,0.0300751879699248,0.0225563909774436,0.0160656908247055,0.00533333333333333,35962,0.00925212027756361,0.00825206301575394,0.0827067669172932,0.0789473684210526,0.107170393215112,0.0892723180795199
